Word,Negative,Positive,Uncertainty
carelessness,2009,0,0
catastrophe,2009,0,0
catastrophes,2009,0,0
catastrophic,2009,0,0
catastrophically,2009,0,0
caution,2009,0,0
cautionary,2009,0,0
cautioned,2009,0,0
cautioning,2009,0,0
cautions,2009,0,0
cautious,0,0,2009
cautiously,0,0,2009
cautiousness,0,0,2009
cease,2009,0,0
ceased,2009,0,0
ceases,2009,0,0
ceasing,2009,0,0
censure,2009,0,0
censured,2009,0,0
censures,2009,0,0
censuring,2009,0,0
challenge,2009,0,0
challenged,2009,0,0
challenges,2009,0,0
challenging,2009,0,0
chargeoffs,2009,0,0
charitable,0,2009,0
circumvent,2009,0,0
circumvented,2009,0,0
circumventing,2009,0,0
circumvention,2009,0,0
circumventions,2009,0,0
circumvents,2009,0,0
claiming,2009,0,0
claims,2009,0,0
clarification,0,0,2009
clarifications,0,0,2009
clawback,2009,0,0
closed,-2020,0,0
closeout,2009,0,0
closeouts,2009,0,0
closing,-2020,0,0
closings,2009,0,0
closure,2009,0,0
closures,2009,0,0
coerce,2009,0,0
coerced,2009,0,0
coerces,2009,0,0
coercing,2009,0,0
coercion,2009,0,0
coercive,2009,0,0
collaborate,0,2009,0
collaborated,0,2009,0
collaborates,0,2009,0
collaborating,0,2009,0
collaboration,0,2009,0
collaborations,0,2009,0
collaborative,0,2009,0
collaborator,0,2009,0
collaborators,0,2009,0
collapse,2009,0,0
collapsed,2009,0,0
collapses,2009,0,0
collapsing,2009,0,0
collision,2009,0,0
collisions,2009,0,0
collude,2009,0,0
colluded,2009,0,0
colludes,2009,0,0
colluding,2009,0,0
collusion,2009,0,0
collusions,2009,0,0
collusive,2009,0,0
complain,2009,0,0
complained,2009,0,0
complaining,2009,0,0
complains,2009,0,0
complaint,2009,0,0
complaints,2009,0,0
complicate,2009,0,0
complicated,2009,0,0
complicates,2009,0,0
complicating,2009,0,0
complication,2009,0,0
complications,2009,0,0
compliment,0,2009,0
complimentary,0,2009,0
complimented,0,2009,0
complimenting,0,2009,0
compliments,0,2009,0
compulsion,2009,0,0
concealed,2009,0,0
concealing,2009,0,0
concede,2009,0,0
conceded,2009,0,0
concedes,2009,0,0
conceding,2009,0,0
conceivable,0,0,2009
conceivably,0,0,2009
concern,2009,0,0
concerned,2009,0,0
concerns,2009,0,0
conciliating,2009,0,0
conciliation,2009,0,0
conciliations,2009,0,0
conclusive,0,2009,0
conclusively,0,2009,0
condemn,2009,0,0
condemnation,2009,0,0
condemnations,2009,0,0
condemned,2009,0,0
condemning,2009,0,0
condemns,2009,0,0
conditional,0,0,2009
conditionally,0,0,2009
condone,2009,0,0
condoned,2009,0,0
conducive,0,2009,0
confess,2009,0,0
confessed,2009,0,0
confesses,2009,0,0
confessing,2009,0,0
confession,2009,0,0
confident,0,2009,0
confine,2009,0,0
confined,2009,0,0
confinement,2009,0,0
confinements,2009,0,0
confines,2009,0,0
confining,2009,0,0
confiscate,2009,0,0
confiscated,2009,0,0
confiscates,2009,0,0
confiscating,2009,0,0
confiscation,2009,0,0
confiscations,2009,0,0
conflict,2009,0,0
conflicted,2009,0,0
conflicting,2009,0,0
conflicts,2009,0,0
confront,2009,0,0
confrontation,2009,0,0
confrontational,2009,0,0
confrontations,2009,0,0
confronted,2009,0,0
confronting,2009,0,0
confronts,2009,0,0
confuse,2009,0,0
confused,2009,0,0
confuses,2009,0,2009
confusing,2009,0,2009
confusingly,2009,0,2009
confusion,2009,0,2009
conspiracies,2009,0,0
conspiracy,2009,0,0
conspirator,2009,0,0
conspiratorial,2009,0,0
conspirators,2009,0,0
conspire,2009,0,0
conspired,2009,0,0
conspires,2009,0,0
conspiring,2009,0,0
constructive,0,2009,0
constructively,0,2009,0
contempt,2009,0,0
contend,2009,0,0
contended,2009,0,0
contending,2009,0,0
contends,2009,0,0
contention,2009,0,0
contentions,2009,0,0
contentious,2009,0,0
contentiously,2009,0,0
contested,2009,0,0
contesting,2009,0,0
contingencies,0,0,2009
contingency,0,0,2009
contingent,0,0,2009
contingently,0,0,2009
contingents,0,0,2009
contraction,2009,0,0
contractions,2009,0,0
contradict,2009,0,0
contradicted,2009,0,0
contradicting,2009,0,0
contradiction,2009,0,0
contradictions,2009,0,0
contradictory,2009,0,0
contradicts,2009,0,0
contrary,2009,0,0
controversial,2009,0,0
controversies,2009,0,0
controversy,2009,0,0
convict,2009,0,0
convicted,2009,0,0
convicting,2009,0,0
conviction,2009,0,0
convictions,2009,0,0
corrected,2009,0,0
correcting,2009,0,0
correction,2009,0,0
corrections,2009,0,0
corrects,2009,0,0
corrupt,2009,0,0
corrupted,2009,0,0
corrupting,2009,0,0
corruption,2009,0,0
corruptions,2009,0,0
corruptly,2009,0,0
corruptness,2009,0,0
costly,2009,0,0
could,0,0,2009
counterclaim,2009,0,0
counterclaimed,2009,0,0
counterclaiming,2009,0,0
counterclaims,2009,0,0
counterfeit,2009,0,0
counterfeited,2009,0,0
counterfeiter,2009,0,0
counterfeiters,2009,0,0
counterfeiting,2009,0,0
counterfeits,2009,0,0
countermeasure,2009,0,0
countermeasures,2009,0,0
courteous,0,2009,0
creative,0,2009,0
creatively,0,2009,0
creativeness,0,2009,0
creativity,0,2009,0
crime,2009,0,0
crimes,2009,0,0
criminal,2009,0,0
criminally,2009,0,0
criminals,2009,0,0
crises,2009,0,0
crisis,2009,0,0
critical,-2020,0,0
critically,2009,0,0
criticism,2009,0,0
criticisms,2009,0,0
criticize,2009,0,0
criticized,2009,0,0
criticizes,2009,0,0
criticizing,2009,0,0
crossroad,0,0,2009
crossroads,0,0,2009
crucial,2009,0,0
crucially,2009,0,0
culpability,2009,0,0
culpable,2009,0,0
culpably,2009,0,0
cumbersome,2009,0,0
curtail,2009,0,0
curtailed,2009,0,0
curtailing,2009,0,0
curtailment,2009,0,0
curtailments,2009,0,0
curtails,2009,0,0
cut,2009,0,0
cutback,2009,0,0
cutbacks,2009,0,0
cyberattack,2014,0,0
cyberattacks,2014,0,0
cyberbullying,2014,0,0
cybercrime,2014,0,0
cybercrimes,2014,0,0
cybercriminal,2014,0,0
cybercriminals,2014,0,0
damage,2009,0,0
damaged,2009,0,0
damages,2009,0,0
damaging,2009,0,0
dampen,2009,0,0
dampened,2009,0,0
danger,2009,0,0
dangerous,2009,0,0
dangerously,2009,0,0
dangers,2009,0,0
deadlock,2009,0,0
deadlocked,2009,0,0
deadlocking,2009,0,0
deadlocks,2009,0,0
deadweight,2009,0,0
deadweights,2009,0,0
debarment,2009,0,0
debarments,2009,0,0
debarred,2009,0,0
deceased,2009,0,0
deceit,2009,0,0
deceitful,2009,0,0
deceitfulness,2009,0,0
deceive,2009,0,0
deceived,2009,0,0
deceives,2009,0,0
deceiving,2009,0,0
deception,2009,0,0
deceptions,2009,0,0
deceptive,2009,0,0
deceptively,2009,0,0
decline,2009,0,0
declined,2009,0,0
declines,2009,0,0
declining,2009,0,0
deface,2009,0,0
defaced,2009,0,0
defacement,2009,0,0
defamation,2009,0,0
defamations,2009,0,0
defamatory,2009,0,0
defame,2009,0,0
defamed,2009,0,0
defames,2009,0,0
defaming,2009,0,0
default,2009,0,0
defaulted,2009,0,0
defaulting,2009,0,0
defaults,2009,0,0
defeat,2009,0,0
defeated,2009,0,0
defeating,2009,0,0
defeats,2009,0,0
defect,2009,0,0
defective,2009,0,0
defects,2009,0,0
defend,2009,0,0
defendant,2009,0,0
defendants,2009,0,0
defended,2009,0,0
defending,2009,0,0
defends,2009,0,0
defensive,2009,0,0
defer,2009,0,0
deficiencies,2009,0,0
deficiency,2009,0,0
deficient,2009,0,0
deficit,2009,0,0
deficits,2009,0,0
defraud,2009,0,0
defrauded,2009,0,0
defrauding,2009,0,0
defrauds,2009,0,0
defunct,2009,0,0
degradation,2009,0,0
degradations,2009,0,0
degrade,2009,0,0
degraded,2009,0,0
degrades,2009,0,0
degrading,2009,0,0
delay,2009,0,0
delayed,2009,0,0
delaying,2009,0,0
delays,2009,0,0
deleterious,2009,0,0
deliberate,2009,0,0
deliberated,2009,0,0
deliberately,2009,0,0
delight,0,2009,0
delighted,0,2009,0
delightful,0,2009,0
delightfully,0,2009,0
delighting,0,2009,0
delights,0,2009,0
delinquencies,2009,0,0
delinquency,2009,0,0
delinquent,2009,0,0
delinquently,2009,0,0
delinquents,2009,0,0
delist,2009,0,0
delisted,2009,0,0
delisting,2009,0,0
delists,2011,0,0
demise,2009,0,0
demised,2009,0,0
demises,2009,0,0
demising,2009,0,0
demolish,2009,0,0
demolished,2009,0,0
demolishes,2009,0,0
demolishing,2009,0,0
demolition,2009,0,0
demolitions,2009,0,0
demote,2009,0,0
demoted,2009,0,0
demotes,2009,0,0
demoting,2009,0,0
demotion,2009,0,0
demotions,2009,0,0
denial,2009,0,0
denials,2009,0,0
denied,2009,0,0
denies,2009,0,0
denigrate,2009,0,0
denigrated,2009,0,0
denigrates,2009,0,0
denigrating,2009,0,0
denigration,2009,0,0
deny,2009,0,0
denying,2009,0,0
depend,0,0,2009
dependability,0,2009,0
dependable,0,2009,0
depended,0,0,2009
dependence,0,0,2009
dependencies,0,0,2009
dependency,0,0,2009
dependent,0,0,2009
depending,0,0,2009
depends,0,0,2009
deplete,2009,0,0
depleted,2009,0,0
depletes,2009,0,0
depleting,2009,0,0
depletion,2009,0,0
depletions,2009,0,0
deprecation,2009,0,0
depress,2009,0,0
depressed,2009,0,0
depresses,2009,0,0
depressing,2009,0,0
deprivation,2009,0,0
deprive,2009,0,0
deprived,2009,0,0
deprives,2009,0,0
depriving,2009,0,0
derelict,2009,0,0
dereliction,2009,0,0
derogatory,2009,0,0
desirable,0,2009,0
desired,0,2009,0
despite,0,2009,0
destabilization,2009,0,0
destabilize,2009,0,0
destabilized,2009,0,0
destabilizing,2009,0,2009
destined,0,2009,0
destroy,2009,0,0
destroyed,2009,0,0
destroying,2009,0,0
destroys,2009,0,0
destruction,2009,0,0
destructive,2009,0,0
detain,2009,0,0
detained,2009,0,0
detention,2009,0,0
detentions,2009,0,0
deter,2009,0,0
deteriorate,2009,0,0
deteriorated,2009,0,0
deteriorates,2009,0,0
deteriorating,2009,0,0
deterioration,2009,0,0
deteriorations,2009,0,0
deterred,2009,0,0
deterrence,2009,0,0
deterrences,2009,0,0
deterrent,2009,0,0
deterrents,2009,0,0
deterring,2009,0,0
deters,2009,0,0
detract,2009,0,0
detracted,2009,0,0
detracting,2009,0,0
detriment,2009,0,0
detrimental,2009,0,0
detrimentally,2009,0,0
detriments,2009,0,0
devalue,2009,0,0
devalued,2009,0,0
devalues,2009,0,0
devaluing,2009,0,0
devastate,2009,0,0
devastated,2009,0,0
devastating,2009,0,0
devastation,2009,0,0
deviate,2009,0,2009
deviated,2009,0,2009
deviates,2009,0,2009
deviating,2009,0,2009
deviation,2009,0,2009
deviations,2009,0,2009
devolve,2009,0,0
devolved,2009,0,0
devolves,2009,0,0
devolving,2009,0,0
differ,0,0,2009
differed,0,0,2009
differing,0,0,2009
differs,0,0,2009
difficult,2009,0,0
difficulties,2009,0,0
difficultly,2009,0,0
difficulty,2009,0,0
diligent,0,2009,0
diligently,0,2009,0
diminish,2009,0,0
diminished,2009,0,0
diminishes,2009,0,0
diminishing,2009,0,0
diminution,2009,0,0
disadvantage,2009,0,0
disadvantaged,2009,0,0
disadvantageous,2009,0,0
disadvantages,2009,0,0
disaffiliation,2009,0,0
disagree,2009,0,0
disagreeable,2009,0,0
disagreed,2009,0,0
disagreeing,2009,0,0
disagreement,2009,0,0
disagreements,2009,0,0
disagrees,2009,0,0
disallow,2009,0,0
disallowance,2009,0,0
disallowances,2009,0,0
disallowed,2009,0,0
disallowing,2009,0,0
disallows,2009,0,0
disappear,2009,0,0
disappearance,2009,0,0
disappearances,2009,0,0
disappeared,2009,0,0
disappearing,2009,0,0
disappears,2009,0,0
disappoint,2009,0,0
disappointed,2009,0,0
disappointing,2009,0,0
disappointingly,2009,0,0
disappointment,2009,0,0
disappointments,2009,0,0
disappoints,2009,0,0
disapproval,2009,0,0
disapprovals,2009,0,0
disapprove,2009,0,0
disapproved,2009,0,0
disapproves,2009,0,0
disapproving,2009,0,0
disassociates,2009,0,0
disassociating,2009,0,0
disassociation,2009,0,0
disassociations,2009,0,0
disaster,2009,0,0
disasters,2009,0,0
disastrous,2009,0,0
disastrously,2009,0,0
disavow,2009,0,0
disavowal,2009,0,0
disavowed,2009,0,0
disavowing,2009,0,0
disavows,2009,0,0
disciplinary,2009,0,0
disclaim,2009,0,0
disclaimed,2009,0,0
disclaimer,2009,0,0
disclaimers,2009,0,0
disclaiming,2009,0,0
disclaims,2009,0,0
disclose,2009,0,0
disclosed,2009,0,0
discloses,2009,0,0
disclosing,2009,0,0
discontinuance,2009,0,0
discontinuances,2009,0,0
discontinuation,2009,0,0
discontinuations,2009,0,0
discontinue,2009,0,0
discontinued,2009,0,0
discontinues,2009,0,0
discontinuing,2009,0,0
discourage,2009,0,0
discouraged,2009,0,0
discourages,2009,0,0
discouraging,2009,0,0
discredit,2009,0,0
discredited,2009,0,0
discrediting,2009,0,0
discredits,2009,0,0
discrepancies,2009,0,0
discrepancy,2009,0,0
disfavor,2009,0,0
disfavored,2009,0,0
disfavoring,2009,0,0
disfavors,2009,0,0
disgorge,2009,0,0
disgorged,2009,0,0
disgorgement,2009,0,0
disgorgements,2009,0,0
disgorges,2009,0,0
disgorging,2009,0,0
disgrace,2009,0,0
disgraceful,2009,0,0
disgracefully,2009,0,0
dishonest,2009,0,0
dishonestly,2009,0,0
dishonesty,2009,0,0
dishonor,2009,0,0
dishonorable,2009,0,0
dishonorably,2009,0,0
dishonored,2009,0,0
dishonoring,2009,0,0
dishonors,2009,0,0
disincentives,2009,0,0
disinterested,2009,0,0
disinterestedly,2009,0,0
disinterestedness,2009,0,0
disloyal,2009,0,0
disloyally,2009,0,0
disloyalty,2009,0,0
dismal,2009,0,0
dismally,2009,0,0
dismiss,2009,0,0
dismissal,2009,0,0
dismissals,2009,0,0
dismissed,2009,0,0
dismisses,2009,0,0
dismissing,2009,0,0
disorderly,2009,0,0
disparage,2009,0,0
disparaged,2009,0,0
disparagement,2009,0,0
disparagements,2009,0,0
disparages,2009,0,0
disparaging,2009,0,0
disparagingly,2009,0,0
disparities,2009,0,0
disparity,2009,0,0
displace,2009,0,0
displaced,2009,0,0
displacement,2009,0,0
displacements,2009,0,0
displaces,2009,0,0
displacing,2009,0,0
dispose,2009,0,0
dispossess,2009,0,0
dispossessed,2009,0,0
dispossesses,2009,0,0
dispossessing,2009,0,0
disproportion,2009,0,0
disproportional,2009,0,0
disproportionate,2009,0,0
disproportionately,2009,0,0
dispute,2009,0,0
disputed,2009,0,0
disputes,2009,0,0
disputing,2009,0,0
disqualification,2009,0,0
disqualifications,2009,0,0
disqualified,2009,0,0
disqualifies,2009,0,0
disqualify,2009,0,0
disqualifying,2009,0,0
disregard,2009,0,0
disregarded,2009,0,0
disregarding,2009,0,0
disregards,2009,0,0
disreputable,2009,0,0
disrepute,2009,0,0
disrupt,2009,0,0
disrupted,2009,0,0
disrupting,2009,0,0
disruption,2009,0,0
disruptions,2009,0,0
disruptive,2009,0,0
disrupts,2009,0,0
dissatisfaction,2009,0,0
dissatisfied,2009,0,0
dissent,2009,0,0
dissented,2009,0,0
dissenter,2009,0,0
dissenters,2009,0,0
dissenting,2009,0,0
dissents,2009,0,0
dissident,2009,0,0
dissidents,2009,0,0
dissolution,2009,0,0
dissolutions,2009,0,0
distinction,0,2009,0
distinctions,0,2009,0
distinctive,0,2009,0
distinctively,0,2009,0
distinctiveness,0,2009,0
distort,2009,0,0
distorted,2009,0,0
distorting,2009,0,0
distortion,2009,0,0
distortions,2009,0,0
distorts,2009,0,0
distract,2009,0,0
distracted,2009,0,0
distracting,2009,0,0
distraction,2009,0,0
distractions,2009,0,0
distracts,2009,0,0
distress,2009,0,0
distressed,2009,0,0
disturb,2009,0,0
disturbance,2009,0,0
disturbances,2009,0,0
disturbed,2009,0,0
disturbing,2009,0,0
disturbs,2009,0,0
diversion,2009,0,0
divert,2009,0,0
diverted,2009,0,0
diverting,2009,0,0
diverts,2009,0,0
divest,2009,0,0
divested,2009,0,0
divesting,2009,0,0
divestiture,2009,0,0
divestitures,2009,0,0
divestment,2009,0,0
divestments,2009,0,0
divests,2009,0,0
divorce,2009,0,0
divorced,2009,0,0
divulge,2009,0,0
divulged,2009,0,0
divulges,2009,0,0
divulging,2009,0,0
doubt,2009,0,2009
doubted,2009,0,2009
doubtful,2009,0,2009
doubts,2009,0,2009
downgrade,2009,0,0
downgraded,2009,0,0
downgrades,2009,0,0
downgrading,2009,0,0
downsize,2009,0,0
downsized,2009,0,0
downsizes,2009,0,0
downsizing,2009,0,0
downsizings,2009,0,0
downtime,2009,0,0
downtimes,2009,0,0
downturn,2009,0,0
downturns,2009,0,0
downward,2009,0,0
downwards,2009,0,0
drag,2009,0,0
drastic,2009,0,0
drastically,2009,0,0
drawback,2009,0,0
drawbacks,2009,0,0
dream,0,2009,0
dropped,2009,0,0
drought,2009,0,0
droughts,2009,0,0
duress,2009,0,0
dysfunction,2009,0,0
dysfunctional,2009,0,0
dysfunctions,2009,0,0
easier,0,2009,0
easily,0,2009,0
easing,2009,0,0
easy,0,2009,0
effective,0,-2020,0
efficiencies,0,2009,0
efficiency,0,2009,0
efficient,0,2009,0
efficiently,0,2009,0
egregious,2009,0,0
egregiously,2009,0,0
embargo,2009,0,0
embargoed,2009,0,0
embargoes,2009,0,0
embargoing,2009,0,0
embarrass,2009,0,0
embarrassed,2009,0,0
embarrasses,2009,0,0
embarrassing,2009,0,0
embarrassment,2009,0,0
embarrassments,2009,0,0
embezzle,2009,0,0
embezzled,2009,0,0
embezzlement,2009,0,0
embezzlements,2009,0,0
embezzler,2009,0,0
embezzles,2009,0,0
embezzling,2009,0,0
empower,0,2009,0
empowered,0,2009,0
empowering,0,2009,0
empowers,0,2009,0
enable,0,2009,0
enabled,0,2009,0
enables,0,2009,0
enabling,0,2009,0
encouraged,0,2009,0
encouragement,0,2009,0
encourages,0,2009,0
encouraging,0,2009,0
encroach,2009,0,0
encroached,2009,0,0
encroaches,2009,0,0
encroaching,2009,0,0
encroachment,2009,0,0
encroachments,2009,0,0
encumber,2009,0,0
encumbered,2009,0,0
encumbering,2009,0,0
encumbers,2009,0,0
encumbrance,2009,0,0
encumbrances,2009,0,0
endanger,2009,0,0
endangered,2009,0,0
endangering,2009,0,0
endangerment,2009,0,0
endangers,2009,0,0
enhance,0,2009,0
enhanced,0,2009,0
enhancement,0,2009,0
enhancements,0,2009,0
enhances,0,2009,0
enhancing,0,2009,0
enjoin,2009,0,0
enjoined,2009,0,0
enjoining,2009,0,0
enjoins,2009,0,0
enjoy,0,2009,0
enjoyable,0,2009,0
enjoyably,0,2009,0
enjoyed,0,2009,0
enjoying,0,2009,0
enjoyment,0,2009,0
enjoys,0,2009,0
enthusiasm,0,2009,0
enthusiastic,0,2009,0
enthusiastically,0,2009,0
erode,2009,0,0
eroded,2009,0,0
erodes,2009,0,0
eroding,2009,0,0
erosion,2009,0,0
erratic,2009,0,0
erratically,2009,0,0
erred,2009,0,0
erring,2009,0,0
erroneous,2009,0,0
erroneously,2009,0,0
error,2009,0,0
errors,2009,0,0
errs,2009,0,0
escalate,2009,0,0
escalated,2009,0,0
escalates,2009,0,0
escalating,2009,0,0
evade,2009,0,0
evaded,2009,0,0
evades,2009,0,0
evading,2009,0,0
evasion,2009,0,0
evasions,2009,0,0
evasive,2009,0,0
evict,2009,0,0
evicted,2009,0,0
evicting,2009,0,0
eviction,2009,0,0
evictions,2009,0,0
evicts,2009,0,0
exacerbate,2009,0,0
exacerbated,2009,0,0
exacerbates,2009,0,0
exacerbating,2009,0,0
exacerbation,2009,0,0
exacerbations,2009,0,0
exaggerate,2009,0,0
exaggerated,2009,0,0
exaggerates,2009,0,0
exaggerating,2009,0,0
exaggeration,2009,0,0
excellence,0,2009,0
excellent,0,2009,0
excelling,0,2009,0
excels,0,2009,0
exceptional,0,2009,0
exceptionally,0,2009,0
excessive,2009,0,0
excessively,2009,0,0
excited,0,2009,0
excitement,0,2009,0
exciting,0,2009,0
exclusive,0,2009,0
exclusively,0,2009,0
exclusiveness,0,2009,0
exclusives,0,2009,0
exclusivity,0,2009,0
exculpate,2009,0,0
exculpated,2009,0,0
exculpates,2009,0,0
exculpating,2009,0,0
exculpation,2009,0,0
exculpations,2009,0,0
exculpatory,2009,0,0
exemplary,0,2009,0
exonerate,2009,0,0
exonerated,2009,0,0
exonerates,2009,0,0
exonerating,2009,0,0
exoneration,2009,0,0
exonerations,2009,0,0
exploit,2009,0,0
exploitation,2009,0,0
exploitations,2009,0,0
exploitative,2009,0,0
exploited,2009,0,0
exploiting,2009,0,0
exploits,2009,0,0
expose,2009,0,0
exposed,2009,0,0
exposes,2009,0,0
exposing,2009,0,0
exposure,0,0,2009
exposures,0,0,2009
expropriate,2009,0,0
expropriated,2009,0,0
expropriates,2009,0,0
expropriating,2009,0,0
expropriation,2009,0,0
